#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-11T18:58:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9803da1060
#INFO	-out.max=unlimited
#INFO	queryParameters=22
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/cb&tab:{B/cb/cbdata}&key:source=B/cb/cbdata&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/cb/cbdata
#-order=I
#-out=Name
#-out=AltName
#-out=RAJ2000
#-out=DEJ2000
#-out=Type1
#-out=Type2
#-out=mag1
#-out=Orb.Per
#-out=SpType2
#-out=SpType1
#-out=Refs
#Refs=Refs
#Simbad=Simbad
#

#RESOURCE=yCat_102018
#Name: B/cb
#Title: Cataclysmic Binaries, LMXBs, and related objects (Ritter+, 2004)
#Table	B_cb_cbdata:
#Name: B/cb/cbdata
#Title: Catalogue of Cataclysmic Binaries
#Column	Name	(a12)	Object name (G1)	[ucd=meta.id,meta.main]
#Column	AltName	(a12)	A frequently used alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec,meta.main]
#Column	Type1	(A2)	Object type (3)	[ucd=src.class]
#Column	Type2	(A2)	Object type (3)	[ucd=src.class]
#Column	mag1	(F4.1)	? Apparent V (or B, b, F, g, I, J, j, K, p, R, r, v, w = "white light") magnitude at maximum brightness (4)	[ucd=phot.mag,em.opt.V]
#Column	Orb.Per	(F9.6)	? Orbital period (in days)	[ucd=time.period]
#Column	SpType2	(A7)	Spectral type of the secondary (G6)	[ucd=src.spType]
#Column	SpType1	(a7)	Spectral type of the primary (G6)	[ucd=src.spType]
#Column	Refs	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
# , ,"h:m:s","d:m:s", , ,mag,d, , ,
Name,AltName,RAJ2000,DEJ2000,Type1,Type2,mag1,Orb_Per,SpType2,SpType1,Refs
J1459+3548  ,            ,14 59 21.8,+35 48 05,DN,SU,21.6, 0.082000,       ,       ,Refs
J1652+4605  ,            ,16 52 36.3,+46 05 15,DN,SU,22.1, 0.082000,       ,       ,Refs
J1850+4044  ,            ,18 50 50.6,+40 44 06,DN,SU,18.1, 0.082000,       ,       ,Refs
RX Cha      ,            ,10 36 26.3,-80 02 48,DN,SU,22.0, 0.081800,       ,       ,Refs
KP Cas      ,            ,00 38 54.8,+61 13 00,DN,SU,18.0, 0.081400,       ,       ,Refs
V808 Aur    ,            ,07 11 26.0,+44 04 05,NL,AM,14.4, 0.081377,       ,       ,Refs
V1974 Cyg   ,N Cyg 1992  ,20 30 31.7,+52 37 51,Na,SH,16.9, 0.081260,       ,       ,Refs
V1032 Oph   ,            ,16 26 09.7,-03 53 25,DN,SU,18.0, 0.081056,       ,       ,Refs
J1324-6512  ,            ,13 24 01.6,-65 12 20,DN,SU,19.8, 0.081000,       ,       ,Refs
J1940-4724  ,            ,19 40 37.6,-47 24 49,DN,  ,17.0, 0.081000,       ,       ,Refs
J2308-6559  ,            ,23 08 57.8,-65 59 32,DN,SU,21.3, 0.081000,       ,       ,Refs
J1040-6233  ,            ,10 40 14.3,-62 33 18,DN,SU,22.1, 0.080919,       ,       ,Refs
V877 Ara    ,            ,17 16 53.9,-65 32 52,DN,SU,20.3, 0.080900,       ,       ,Refs
J1504+0847  ,            ,15 04 41.8,+08 47 53,DN,SU,19.1, 0.080900,       ,       ,Refs
V1237 Her   ,            ,17 00 53.3,+40 03 58,NL,AM,    , 0.080802,       ,       ,Refs
CP Dra      ,            ,10 15 39.8,+73 26 05,DN,SU,20.0, 0.080800,       ,       ,Refs
J0810+0024  ,            ,08 10 30.6,+00 24 29,NL,AM,16.5, 0.080660,       ,       ,Refs
AR UMa      ,            ,11 15 44.7,+42 58 23,NL,AM,13.3, 0.080501,M5-6/5 ,       ,Refs
AR Pic      ,            ,05 49 45.4,-49 21 56,DN,SU,16.5, 0.080220,       ,       ,Refs
WW Hor      ,EXO 0234-523,02 36 11.5,-52 19 14,NL,AM,17.6, 0.080199,M6/5  :,       ,Refs
J0912+6209  ,            ,09 12 42.2,+62 09 40,DN,SU,18.8, 0.080100,       ,       ,Refs
V493 Ser    ,            ,15 56 44.3,-00 09 51,DN,SU,17.8, 0.080100,       ,       ,Refs
J0008+7731  ,            ,00 08 20.4,+77 31 19,DN,SU,20.8, 0.080000,       ,       ,Refs
J0851+3444  ,            ,08 51 13.4,+34 44 49,DN,SU,20.2, 0.080000,       ,       ,Refs
J1026+1920  ,            ,10 26 16.1,+19 20 45,DN,SU,20.1, 0.080000,       ,       ,Refs
J1050+3328  ,            ,10 50 26.0,+33 28 13,DN,SU,22.5, 0.080000,       ,       ,Refs
J1444-1311  ,            ,14 44 53.0,-13 11 18,DN,SU,20.3, 0.080000,       ,       ,Refs
J1751+3521  ,            ,17 51 30.2,+35 21 23,DN,SU,20.0, 0.080000,       ,       ,Refs
J1817+6708  ,            ,18 17 52.5,+67 08 08,DN,SU,    , 0.080000,       ,       ,Refs
J2022+5004  ,            ,20 22 25.1,+50 04 57,DN,SU,20.3, 0.080000,       ,       ,Refs
J2102+0258  ,            ,21 02 05.7,+02 58 34,DN,SU,21.0, 0.080000,       ,       ,Refs
J2216+7054  ,            ,22 16 21.9,+70 54 16,DN,SU,20.6, 0.080000,       ,       ,Refs
J2311+2040  ,            ,23 11 42.8,+20 40 36,DN,SU,20.5, 0.080000,       ,       ,Refs
AN UMa      ,PG 1101+453 ,11 04 25.7,+45 03 15,NL,AM,14.5, 0.079753,       ,       ,Refs
J0000+3325  ,            ,00 00 24.6,+33 25 43,DN,SU,20.8, 0.079700,       ,       ,Refs
J0002+4242  ,            ,00 02 22.3,+42 42 14,DN,SU,19.3, 0.079650,       ,       ,Refs
EK UMa      ,1E 1048+542 ,10 51 35.2,+54 04 36,NL,AM,    , 0.079544,       ,       ,Refs
RS Car      ,N Car 1895  ,11 08 05.8,-61 56 09,N ,SH,18.5, 0.079500,       ,       ,Refs
V728 CrA    ,NSV 9923    ,17 59 16.5,-42 35 07,DN,SU,18.3, 0.079500,       ,       ,Refs
BR Lup      ,            ,15 35 53.1,-40 34 05,DN,SU,18.4, 0.079480,       ,       ,Refs
AC LMi      ,            ,10 19 47.3,+33 57 54,DN,  ,17.5, 0.079200,       ,       ,Refs
J1821+2121  ,            ,18 21 42.8,+21 21 54,DN,SU,20.3, 0.079200,       ,       ,Refs
J0357+1029  ,            ,03 57 58.6,+10 29 42,NL,AM,19.2, 0.079181,       ,       ,Refs
ST LMi      ,CW 1103+254 ,11 05 39.8,+25 06 29,NL,AM,13.7, 0.079089,M6/5   ,       ,Refs
J0006-6900  ,            ,00 06 33.4,-69 00 34,DN,  ,15.0, 0.079000,       ,       ,Refs
J0045+5032  ,            ,00 45 27.5,+50 32 16,DN,SU,19.7, 0.079000,       ,       ,Refs
J0334-0710  ,            ,03 34 49.9,-07 10 48,DN,SU,18.0, 0.079000,       ,       ,Refs
J0946-0056  ,            ,09 46 06.9,-00 56 01,DN,SU,20.4, 0.079000,       ,       ,Refs
J1312-4218  ,            ,13 12 13.5,-42 18 09,DN,SU,22.7, 0.079000,       ,       ,Refs
J1736+0716  ,            ,17 36 15.1,+07 16 56,DN,SU,22.5, 0.079000,       ,       ,Refs
BL Hyi      ,H 0139-68   ,01 41 00.3,-67 53 28,NL,AM,14.3, 0.078915,M5/5   ,       ,Refs
J1642+1347  ,            ,16 42 48.5,+13 47 51,DN,  ,18.5, 0.078900,       ,       ,Refs
V489 Ser    ,            ,15 55 32.0,-00 10 55,DN,  ,19.3, 0.078850,       ,       ,Refs
J0211+1716  ,            ,02 11 10.2,+17 16 24,DN,SU,19.2, 0.078800,       ,       ,Refs
MR Ser      ,PG 1550+191 ,15 52 47.2,+18 56 28,NL,AM,14.9, 0.078798,M8/5   ,       ,Refs
NSV 14652   ,            ,23 38 48.7,+28 19 55,DN,SU,18.0, 0.078700,       ,       ,Refs
FR Lyn      ,            ,08 54 14.0,+39 05 37,NL,AM,16.4, 0.078650,       ,       ,Refs
AX For      ,            ,02 19 28.0,-30 45 46,DN,SU,18.7, 0.078500,       ,       ,Refs
V884 Her    ,J1802+1804  ,18 02 06.5,+18 04 43,NL,AM,14.5, 0.078480,       ,       ,Refs
V2301 Oph   ,1H 1752+081 ,18 00 35.6,+08 10 13,NL,AM,16.1, 0.078450,M6/5   ,       ,Refs
BZ Cir      ,1449-6804   ,14 54 15.2,-68 16 19,DN,SU,18.2, 0.078400,       ,       ,Refs
V660 Her    ,            ,17 42 09.2,+23 48 31,DN,SU,19.0, 0.078260,       ,       ,Refs
J1039-6245  ,            ,10 39 57.0,-62 45 18,DN,SU,18.0, 0.078218,       ,       ,Refs
PV Per      ,            ,02 42 53.5,+38 04 04,DN,SU,19.8, 0.078100,       ,       ,Refs
CU Vel      ,            ,08 58 32.9,-41 47 51,DN,SU,17.0, 0.078054,M5/5   ,       ,Refs
J0634+4120  ,            ,06 34 38.0,+41 20 47,DN,SU,20.7, 0.078000,       ,       ,Refs
J0800+1924  ,            ,08 00 33.9,+19 24 16,DN,SU,20.1, 0.078000,       ,       ,Refs
J1027-4343  ,            ,10 27 05.8,-43 43 41,DN,SU,19.5, 0.078000,       ,       ,Refs
V359 Cen    ,N Cen 1929  ,11 58 15.3,-41 46 10,N?,DN,18.7, 0.077900,       ,       ,Refs
PU UMa      ,            ,09 01 03.9,+48 09 11,DN,SU,18.7, 0.077881,       ,       ,Refs
TY Vul      ,            ,20 41 44.0,+25 35 11,DN,SU,19.0, 0.077800,       ,       ,Refs
V503 Cyg    ,            ,20 27 17.4,+43 41 23,DN,SU,17.0, 0.077759,M6     ,       ,Refs
J1126-1002  ,            ,11 26 34.0,-10 02 10,DN,  ,18.5, 0.077447,       ,       ,Refs
DH Aql      ,            ,19 26 10.8,-10 15 29,DN,SU,18.3, 0.077400,       ,       ,Refs
J1244+3004  ,            ,12 44 17.9,+30 04 01,DN,SU,20.5, 0.077400,       ,       ,Refs
V1389 Tau   ,            ,04 06 59.8,+00 52 44,DN,SU,18.4, 0.077300,       ,       ,Refs
CD Ind      ,J2115-5840  ,21 15 41.0,-58 40 54,NL,AM,16.0, 0.077006,       ,       ,Refs
AB Nor      ,            ,15 49 15.5,-43 04 49,DN,SU,18.7, 0.077000,       ,       ,Refs
V344 Pav    ,            ,19 16 09.7,-62 35 53,DN,SU,19.4, 0.077000,       ,       ,Refs
J0021-5719  ,            ,00 21 30.9,-57 19 22,DN,SU,17.8, 0.077000,       ,       ,Refs
J0732+4130  ,            ,07 32 08.1,+41 30 09,DN,SU,20.4, 0.077000,       ,       ,Refs
J1052-0643  ,            ,10 52 15.3,-06 43 26,DN,SU,20.1, 0.077000,       ,       ,Refs
J1527+6327  ,            ,15 27 55.1,+63 27 54,DN,SU,18.9, 0.077000,       ,       ,Refs
J1926-6526  ,            ,19 26 08.9,-65 26 21,DN,SU,17.7, 0.077000,       ,       ,Refs
J2125-1026  ,            ,21 25 21.8,-10 26 28,DN,SU,20.2, 0.077000,       ,       ,Refs
J2343-5852  ,            ,23 43 38.2,-58 52 47,DN,SU,19.6, 0.077000,       ,       ,Refs
HS Vir      ,PG 1341-079 ,13 43 38.4,-08 14 03,DN,SU,15.5, 0.076900,       ,       ,Refs
J0726+8332  ,            ,07 26 37.2,+83 32 19,DN,SU,20.8, 0.076857,       ,       ,Refs
J0254+2244  ,            ,02 54 43.7,+22 44 02,DN,SU,19.7, 0.076819,       ,       ,Refs
J0333+3321  ,            ,03 33 56.9,+33 21 51,NL,AM,17.3, 0.076760,       ,       ,Refs
HY Psc      ,            ,23 03 51.7,+01 06 52,DN,SU,17.3, 0.076700,       ,       ,Refs
V630 Cyg    ,            ,21 34 59.2,+40 40 19,DN,SU,17.2, 0.076600,       ,       ,Refs
J1730+6247  ,            ,17 30 08.3,+62 47 55,DN,SU,15.9, 0.076600,       ,       ,Refs
V1113 Cyg   ,            ,19 22 42.1,+52 44 00,DN,SU,18.6, 0.076500,       ,       ,Refs
AW Gem      ,            ,07 22 40.6,+28 30 16,DN,SU,18.8, 0.076500,       ,       ,Refs
J1751-2933#2,            ,17 51 33.6,-29 33 13,NL,AM,22.4, 0.076400,       ,       ,Refs
SU UMa      ,PG 0808+627 ,08 12 28.2,+62 36 23,DN,SU,14.2, 0.076350,       ,       ,Refs
T Pyx       ,            ,09 04 41.5,-32 22 47,Nr,SS,15.1, 0.076223,       ,       ,Refs
QY Per      ,            ,03 15 36.8,+42 28 14,DN,SU,21.0, 0.076100,       ,       ,Refs
RZ Leo      ,            ,11 37 22.3,+01 48 58,DN,SU,18.5, 0.076038,M3-5/5 ,       ,Refs
V368 Per    ,            ,02 47 32.6,+34 58 28,DN,SU,20.7, 0.076000,       ,       ,Refs
J0024-6635  ,            ,00 24 30.7,-66 35 53,DN,SU,20.3, 0.076000,       ,       ,Refs
J0437+3652  ,            ,04 37 19.0,+36 52 55,DN,SU,20.7, 0.076000,       ,       ,Refs
J1900-4930  ,            ,19 00 05.3,-49 30 34,DN,SU,20.0, 0.076000,       ,       ,Refs
J1909-6328  ,            ,19 09 55.8,-63 28 06,DN,SU,20.7, 0.076000,       ,       ,Refs
V893 Sco    ,            ,16 15 15.1,-28 37 31,DN,SU,14.0, 0.075961,       ,       ,Refs
EG Aqr      ,            ,23 25 19.2,-08 18 19,DN,SU,18.3, 0.075960,       ,       ,Refs
WY Tri      ,            ,02 25 00.5,+32 59 56,DN,SU,19.1, 0.075900,       ,       ,Refs
J1222-3115  ,            ,12 22 21.7,-31 15 23,DN,SU,19.1, 0.075879,       ,       ,Refs
TT Boo      ,            ,14 57 44.7,+40 43 42,DN,SU,19.2, 0.075600,       ,       ,Refs
LX Cnc      ,            ,08 12 07.6,+13 18 24,DN,SU,19.3, 0.075600,       ,       ,Refs
J1626-1255  ,            ,16 26 19.9,-12 55 56,DN,  ,20.1, 0.075460,       ,       ,Refs
CE Gru      ,Gru V1      ,21 37 56.4,-43 42 13,NL,AM,18.0, 0.075400,       ,       ,Refs
V342 Cam    ,            ,04 23 32.9,+74 52 50,DN,SU,17.5, 0.075310,       ,       ,Refs
J0839+2828  ,            ,08 39 31.4,+28 28 24,DN,SU,20.2, 0.075300,       ,       ,Refs
J2158+0947  ,            ,21 58 15.3,+09 47 10,DN,SU,16.8, 0.075200,       ,       ,Refs
J1005+1911  ,            ,10 05 15.4,+19 11 08,DN,SU,18.2, 0.075100,       ,       ,Refs
J0741-0945  ,            ,07 41 12.7,-09 45 56,DN,SU,19.3, 0.075000,       ,       ,Refs
J1449-3244  ,            ,14 49 27.0,-32 44 07,DN,SU,21.2, 0.075000,       ,       ,Refs
J1545+4428  ,            ,15 45 44.9,+44 28 30,DN,SU,20.9, 0.075000,       ,       ,Refs
J1821+1709  ,            ,18 21 13.9,+17 09 16,DN,SU,18.8, 0.075000,       ,       ,Refs
J1915+4036  ,            ,19 15 11.8,+40 36 26,DN,SU,23.0, 0.075000,       ,       ,Refs
J1939+3927  ,            ,19 39 48.8,+39 27 19,DN,SU,19.2, 0.075000,       ,       ,Refs
J2118-3413  ,            ,21 18 04.3,-34 13 43,DN,  ,15.5, 0.075000,       ,       ,Refs
J2254-3612  ,            ,22 54 35.7,-36 12 27,DN,SU,20.7, 0.075000,       ,       ,Refs
FT Cam      ,            ,03 21 14.4,+61 05 27,DN,SU,17.5, 0.074990,       ,       ,Refs
BK Lyn      ,PG 0917+342 ,09 20 11.2,+33 56 42,DN,ER,16.0, 0.074980,       ,       ,Refs
J0814-0050  ,            ,08 14 18.9,-00 50 22,DN,SU,19.1, 0.074850,       ,       ,Refs
WX Hyi      ,            ,02 09 50.7,-63 18 40,DN,SU,14.7, 0.074813,       ,       ,Refs
LY Hya      ,1329-2925   ,13 31 53.8,-29 40 59,DN,SU,17.4, 0.074800,       ,       ,Refs
J0501+2038  ,            ,05 01 24.1,+20 38 18,DN,  ,19.1, 0.074800,       ,       ,Refs
BE Oct      ,            ,00 00 48.8,-77 18 57,DN,SU,20.4, 0.074700,       ,       ,Refs
QT Aqr      ,            ,20 59 14.9,-06 12 20,DN,  ,18.4, 0.074700,       ,       ,Refs
J1922+4309  ,            ,19 22 54.9,+43 09 05,DN,SU,17.6, 0.074606,       ,       ,Refs
AY For      ,            ,02 42 34.8,-28 02 44,DN,SU,18.4, 0.074600,       ,       ,Refs
QW Ser      ,            ,15 26 14.0,+08 18 02,DN,SU,18.0, 0.074572,       ,       ,Refs
Z Cha       ,            ,08 07 28.2,-76 32 01,DN,SU,15.5, 0.074499,M5.5/5 ,       ,Refs
J2344-0012  ,            ,23 44 40.5,-00 12 06,DN,SU,21.0, 0.074400,       ,       ,Refs
V1251 Cyg   ,            ,21 40 54.4,+48 39 43,DN,SU,20.5, 0.074330,       ,       ,Refs
J1002-1925  ,            ,10 02 11.7,-19 25 38,NL,AM,17.0, 0.074300,       ,       ,Refs
J1858+4914  ,            ,18 58 30.9,+49 14 33,DN,SU,16.5, 0.074300,       ,       ,Refs
VW Hyi      ,            ,04 09 11.3,-71 17 41,DN,SU,13.4, 0.074271,M4/5   ,       ,Refs
V663 Ara    ,            ,16 46 57.7,-55 41 21,DN,SU,    , 0.074100,       ,       ,Refs
V1316 Cyg   ,            ,20 12 13.6,+42 45 52,DN,SU,17.5, 0.074000,       ,       ,Refs
NY Her      ,            ,17 52 52.6,+29 22 19,DN,SU,18.2, 0.074000,       ,       ,Refs
J0442-0023  ,            ,04 42 16.0,-00 23 34,DN,SU,21.0, 0.074000,       ,       ,Refs
J0543+0931  ,            ,05 43 18.0,+09 31 15,DN,SU,21.0, 0.074000,       ,       ,Refs
J0610+1240  ,            ,06 10 04.0,+12 40 09,DN,SU,21.5, 0.074000,       ,       ,Refs
J0819+1915  ,            ,08 19 36.1,+19 15 40,DN,SU,20.5, 0.074000,       ,       ,Refs
J1649+0358  ,            ,16 49 50.4,+03 58 35,DN,SU,19.3, 0.074000,       ,       ,Refs
J1912+5034  ,            ,19 12 35.6,+50 34 32,DN,SU,20.0, 0.074000,       ,       ,Refs
IY UMa      ,Tmz V85     ,10 43 57.0,+58 07 33,DN,SU,17.3, 0.073909,M4/5   ,       ,Refs
J1413-6517  ,            ,14 13 32.9,-65 17 57,NL,AM,22.5, 0.073810,       ,       ,Refs
AY Lyr      ,            ,18 44 26.7,+37 59 52,DN,SU,18.5, 0.073700,       ,       ,Refs
HT Cas      ,            ,01 10 13.0,+60 04 36,DN,SU,16.4, 0.073647,M5.5/5 ,       ,Refs
CC Cnc      ,            ,08 36 19.2,+21 21 05,DN,SU,17.4, 0.073520,       ,       ,Refs
DM Dra      ,            ,15 34 12.1,+59 48 32,DN,SU,20.8, 0.073500,       ,       ,Refs
J1751-2927  ,            ,17 51 33.9,-29 27 54,NL,AM,20.5, 0.073400,       ,       ,Refs
VZ Pyx      ,1H 0857-242 ,08 59 19.9,-24 28 55,DN,SU,15.5, 0.073320,       ,       ,Refs
KV And      ,            ,02 17 13.8,+40 41 31,DN,SU,19.5, 0.073300,       ,       ,Refs
V677 And    ,            ,23 34 23.1,+39 14 23,NL,AM,17.0, 0.073080,       ,       ,Refs
IL Vul      ,            ,20 38 32.7,+22 42 17,DN,SU,20.0, 0.073000,       ,       ,Refs
J1110-2337  ,            ,11 10 46.2,-23 37 45,DN,SU,20.7, 0.073000,       ,       ,Refs
J1343-4426  ,            ,13 43 37.2,-44 26 42,DN,SU,19.2, 0.073000,       ,       ,Refs
J1755-0051  ,            ,17 55 02.1,-00 51 41,DN,SU,22.0, 0.073000,       ,       ,Refs
J2056-3014  ,            ,20 56 52.1,-30 14 38,DN,IP,15.2, 0.073000,       ,       ,Refs
OU Vir      ,J1435-0046  ,14 35 00.1,-00 46 07,DN,SU,17.5, 0.072730,       ,       ,Refs
DT Oct      ,NSV 10934   ,18 40 52.6,-83 43 10,DN,SU,17.1, 0.072707,       ,       ,Refs
J0803+2848  ,            ,08 03 07.0,+28 48 56,DN,SU,20.6, 0.072700,       ,       ,Refs
EP Dra      ,H 1907+690  ,19 07 06.1,+69 08 42,NL,AM,17.0, 0.072656,       ,       ,Refs
TU Tri      ,            ,01 39 15.3,+31 24 19,DN,SU,18.5, 0.072400,       ,       ,Refs
NGC 104-W21 ,            ,00 24 07.6,-72 05 27,CV,  ,20.9, 0.072230,       ,       ,Refs
J0953+1458  ,            ,09 53 08.1,+14 58 36,NL,AM,17.3, 0.072049,       ,       ,Refs
V1047 Aql   ,            ,19 51 31.1,+10 57 22,DN,SU,18.3, 0.072000,       ,       ,Refs
BB Ari      ,NSV 907     ,02 44 57.7,+27 31 09,DN,SU,16.0, 0.072000,       ,       ,Refs
AW Sge      ,            ,19 58 37.1,+16 41 29,DN,SU,19.3, 0.072000,       ,       ,Refs
J2123-1539  ,            ,21 23 25.6,-15 39 54,DN,SU,20.5, 0.072000,       ,       ,Refs
QV Aqr      ,            ,21 04 50.0,+01 05 46,DN,SU,20.5, 0.071960,       ,       ,Refs
J1754-3526  ,            ,17 54 16.2,-35 26 40,DN,SU,17.0, 0.071931,       ,       ,Refs
NN Cam      ,NSV 1485    ,04 12 36.9,+69 29 06,DN,SU,17.2, 0.071700,       ,       ,Refs
V529 Dra    ,            ,18 42 28.1,+48 37 42,DN,SU,21.0, 0.071680,       ,       ,Refs
FO And      ,            ,01 15 32.1,+37 37 36,DN,SU,17.5, 0.071610,       ,       ,Refs
J0150+3756  ,            ,01 50 16.2,+37 56 19,DN,SU,19.1, 0.071500,       ,       ,Refs
GD 552      ,            ,22 50 39.9,+63 28 38,DN,WZ,16.3, 0.071340,       ,       ,Refs
FQ Mon      ,            ,07 16 41.2,-06 56 49,DN,SU,21.7, 0.071300,       ,       ,Refs
VW CrB      ,            ,16 00 03.8,+33 11 15,DN,SU,19.6, 0.071000,       ,       ,Refs
V1024 Per   ,NSV 1436    ,04 02 39.0,+42 50 45,DN,SU,16.2, 0.071000,       ,       ,Refs
J0115+2455  ,            ,01 15 16.5,+24 55 30,DN,SU,21.2, 0.071000,       ,       ,Refs
J0133+4107  ,            ,01 33 07.6,+41 07 19,DN,SU,21.6, 0.071000,       ,       ,Refs
J0150+3326  ,            ,01 50 51.5,+33 26 22,DN,SU,18.2, 0.071000,       ,       ,Refs
J0316+1758  ,            ,03 16 00.1,+17 58 24,DN,SU,22.2, 0.071000,       ,       ,Refs
J0512+4505  ,            ,05 12 34.6,+45 05 12,DN,SU,20.6, 0.071000,       ,       ,Refs
J0803+2516  ,            ,08 03 03.9,+25 16 27,DN,SU,19.6, 0.071000,       ,       ,Refs
J1600+7050  ,            ,16 00 20.6,+70 50 07,DN,SU,19.2, 0.071000,       ,       ,Refs
J1723+1757  ,            ,17 23 06.3,+17 57 56,DN,SU,20.5, 0.071000,       ,       ,Refs
J2159-3529  ,            ,21 59 06.9,-35 29 57,DN,SU,21.7, 0.071000,       ,       ,Refs
J2305+6521  ,            ,23 05 38.4,+65 21 59,DN,SU,19.4, 0.071000,       ,       ,Refs
J0706+0324  ,            ,07 06 48.9,+03 24 48,NL,AM,15.8, 0.070910,       ,       ,Refs
RS Cae      ,J0453-4213  ,04 53 25.5,-42 13 40,NL,AM,18.4, 0.070900,       ,       ,Refs
V834 Cen    ,1E 1405-451 ,14 09 07.5,-45 17 17,NL,AM,14.2, 0.070498,M5-8/5 ,       ,Refs
J0221-2619  ,            ,02 21 37.9,-26 19 52,DN,  ,19.0, 0.070490,       ,       ,Refs
J0838+4910  ,            ,08 38 45.2,+49 10 56,DN,SU,19.6, 0.070300,       ,       ,Refs
V362 Lib    ,            ,14 43 41.9,-17 55 49,DN,SU,20.0, 0.070200,       ,       ,Refs
J0345-0152  ,            ,03 45 15.4,-01 52 16,DN,  ,18.7, 0.070180,       ,       ,Refs
V379 Tel    ,            ,19 28 32.5,-50 01 35,NL,AM,    , 0.070162,M5/5   ,       ,Refs
J1740+0603  ,            ,17 40 45.9,+06 03 51,CV,  ,15.3, 0.070100,       ,       ,Refs
V2779 Oph   ,            ,18 08 35.8,+10 10 30,DN,SU,18.0, 0.070037,       ,       ,Refs
V2527 Oph   ,            ,17 22 04.4,-19 49 09,DN,SU,19.0, 0.070000,       ,       ,Refs
M31 2006-04a,            ,00 43 13.4,+41 16 59,N ,SS,20.5, 0.070000,       ,       ,Refs
J0015+2636  ,            ,00 15 38.2,+26 36 57,DN,SU,17.9, 0.070000,       ,       ,Refs
J0042-5609  ,            ,00 42 14.2,-56 09 20,DN,SU,18.7, 0.070000,       ,       ,Refs
J0213+4606  ,            ,02 13 17.2,+46 06 43,DN,SU,18.5, 0.070000,       ,       ,Refs
J0513-2619  ,            ,05 13 06.6,-26 19 52,DN,SU,10.9, 0.070000,       ,       ,Refs
J0754+3812  ,            ,07 54 18.7,+38 12 25,DN,SU,22.8, 0.070000,       ,       ,Refs
J1057-2156  ,            ,10 57 49.8,-21 56 58,DN,  ,17.5, 0.070000,       ,       ,Refs
J1853+4758  ,            ,18 53 55.8,+47 58 31,DN,SU,20.9, 0.070000,       ,       ,Refs
J1927-4847  ,            ,19 27 10.1,-48 47 52,DN,SU,17.1, 0.070000,       ,       ,Refs
J1959-1833  ,            ,19 59 18.0,-18 33 31,DN,SU,21.0, 0.070000,       ,       ,Refs
J2027-2240  ,            ,20 27 31.2,-22 40 01,DN,SU,18.6, 0.070000,       ,       ,Refs
J2157+1049  ,            ,21 57 23.1,+10 49 59,DN,SU,20.9, 0.070000,       ,       ,Refs
VV Pup      ,            ,08 15 06.7,-19 03 17,NL,AM,13.2, 0.069747,M6-7/5 ,       ,Refs
CY UMa      ,            ,10 56 57.1,+49 41 19,DN,SU,17.0, 0.069570,       ,       ,Refs
V1504 Cyg   ,            ,19 28 56.5,+43 05 37,DN,SU,17.4, 0.069500,       ,       ,Refs
V536 Dra    ,            ,19 14 43.5,+60 52 14,DN,SU,21.0, 0.069500,       ,       ,Refs
RU Hor      ,            ,02 46 07.5,-63 35 47,DN,SU,17.5, 0.069200,       ,       ,Refs
EG Lyn      ,J0820+4934  ,08 20 51.0,+49 34 31,NL,AM,18.0, 0.069010,       ,       ,Refs
CF Gru      ,2138-4518   ,21 41 23.0,-45 04 31,DN,UG,19.9, 0.069000,       ,       ,Refs
V544 Her    ,            ,16 38 05.4,+08 37 58,DN,UG,20.1, 0.069000,       ,       ,Refs
J0943-2720  ,            ,09 43 27.3,-27 20 30,DN,SU,18.8, 0.069000,       ,       ,Refs
J1120+6636  ,            ,11 20 03.4,+66 36 32,DN,SU,21.1, 0.069000,       ,       ,Refs
J1329-3658  ,            ,13 29 00.9,-36 58 59,DN,SU,21.9, 0.069000,       ,       ,Refs
J1344+2044  ,            ,13 44 41.8,+20 44 08,NL,AM,17.2, 0.069000,       ,       ,Refs
J1354+2736  ,            ,13 54 18.8,+27 36 03,DN,SU,22.7, 0.069000,       ,       ,Refs
J1359-3752  ,            ,13 59 17.5,-37 52 42,DN,SU,19.6, 0.069000,       ,       ,Refs
J1554+3650  ,            ,15 54 30.6,+36 50 42,DN,SU,21.0, 0.069000,       ,       ,Refs
J1628+2402  ,            ,16 28 30.9,+24 02 59,DN,SU,20.0, 0.069000,       ,       ,Refs
J1802+4552  ,            ,18 02 22.5,+45 52 45,DN,SU,19.5, 0.069000,       ,       ,Refs
J2149-1219  ,            ,21 49 34.2,-12 19 08,DN,SU,    , 0.069000,       ,       ,Refs
J2206+3014  ,            ,22 06 41.1,+30 14 36,DN,SU,    , 0.069000,       ,       ,Refs
